state_code,county_name,town,precinct_name,precinct_id,GC_Polling_Place
WI,BARRON,TOWN OF MAPLE GROVE,BARRON - TOWN OF MAPLE GROVE - WARD 002,416601,"MAPLE GROVE TOWN HALL, 753 14 1/2 ST, BARRON, WI, 54812"
WI,BARRON,CITY OF RICE LAKE,BARRON - CITY OF RICE LAKE - WARD 004,417081,"RICE LAKE CITY HALL, 30 E EAU CLAIRE ST, RICE LAKE, WI, 54868"
WI,BARRON,CITY OF CUMBERLAND,BARRON - CITY OF CUMBERLAND - WARD 003,417273,NA
WI,BARRON,CITY OF CUMBERLAND,BARRON - CITY OF CUMBERLAND - WARD 002,417342,"CUMBERLAND MUNICIPAL BUILDING, 950 1ST AVE, CUMBERLAND, WI, 54829"
WI,BARRON,CITY OF RICE LAKE,BARRON - CITY OF RICE LAKE - WARD 006,415140,"RICE LAKE CITY HALL, 30 E EAU CLAIRE ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF STANFOLD,BARRON - TOWN OF STANFOLD - WARD 001,415868,"STANFOLD TOWN HALL, 2097 15TH ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF LAKELAND,BARRON - TOWN OF LAKELAND - WARD 002,416073,"LAKELAND TOWN HALL, 791 29 11/16 AVE, BARRONETT, WI, 54813"
WI,BARRON,TOWN OF ARLAND,BARRON - TOWN OF ARLAND - WARD 001,416185,"ARLAND TOWN HALL, 653 9TH AVE, CLAYTON, WI, 54004"
WI,BARRON,TOWN OF CHETEK,BARRON - TOWN OF CHETEK - WARD 002,416902,"CHETEK TOWN HALL, 213 KNAPP ST, CHETEK, WI, 54728"
WI,BARRON,CITY OF CHETEK,BARRON - CITY OF CHETEK - WARD 002,417058,"CHETEK CITY HALL, 220 STOUT ST, CHETEK, WI, 54728"
WI,BARRON,CITY OF BARRON,BARRON - CITY OF BARRON - WARD 001,415141,"BARRON CITY HALL, 1456 E LASALLE AVE, BARRON, WI, 54812"
WI,BARRON,VILLAGE OF CAMERON,BARRON - VILLAGE OF CAMERON - WARD 002,415654,"CAMERON VILLAGE HALL, 300 N 1ST ST, CAMERON, WI, 54822"
WI,BARRON,CITY OF RICE LAKE,BARRON - CITY OF RICE LAKE - WARD 011,415947,"RICE LAKE CITY HALL, 30 E EAU CLAIRE ST, RICE LAKE, WI, 54868"
WI,BARRON,CITY OF RICE LAKE,BARRON - CITY OF RICE LAKE - WARD 002,417820,"RICE LAKE CITY HALL, 30 E EAU CLAIRE ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF RICE LAKE,BARRON - TOWN OF RICE LAKE - WARD 001,414539,NA
WI,BARRON,VILLAGE OF ALMENA,BARRON - VILLAGE OF ALMENA - WARD 001,416101,NA
